,rendered_character,period,image_ID,dataset,SVG description length
22702,化,Simplified,化,SimSun,2275
22703,愚,Seal,S07716,hzy,3760
22704,熬,Bronze,B14856,hzy,3409
22705,澀,Traditional,15,traditional,6359
22706,翱,Traditional,45,traditional,6887
22707,账,Simplified,账,SimSun,2730
22708,恙,Simplified,恙,SimSun,2670
22709,鲸,Simplified,鲸,Hiragino Sans GB,3090
22710,颐,Bronze,B16283,hzy,2815
22711,遣,Oracle,J03531,hzy,3119
22712,也,Traditional,9,traditional,3459
22713,乡,Seal,S04777,hzy,3794
22714,骚,Simplified,骚,Hiragino Sans GB,3540
22715,仔,Simplified,8,casia,3550
22716,馋,Simplified,馋,Hiragino Sans GB,3601
22717,梵,Traditional,梵,Hiragino Sans GB,2808
22718,令,Traditional,29,traditional,4040
22719,凌,Seal,S08453,hzy,3356
22720,圖,Traditional,37,traditional,5479
22721,煤,Traditional,煤,Hiragino Sans GB,2954
22722,渦,Traditional,44,traditional,5992
22723,茂,Traditional,茂,Hiragino Sans GB,2272
22724,粗,Simplified,70,casia,4855
22725,濺,Traditional,濺,SimSun,5675
22726,讓,Traditional,讓,SimSun,5139
22727,互,Traditional,互,SimSun,2066
22728,龟,Simplified,龟,SimSun,2636
22729,狠,Simplified,狠,SimSun,3202
22730,船,Simplified,97,casia,4889
22731,祭,Traditional,16,traditional,5812
22732,殼,Traditional,殼,SimSun,3774
22733,煎,Simplified,煎,SimSun,2832
22734,賈,Traditional,賈,SimSun,2886
22735,回,Seal,S04491,hzy,1893
22736,櫻,Traditional,櫻,Hiragino Sans GB,4117
22737,媚,Simplified,42,casia,5883
22738,算,Traditional,算,SimSun,3412
22739,赴,Simplified,赴,Hiragino Sans GB,2026
22740,爍,Traditional,爍,Hiragino Sans GB,4327
22741,眠,Simplified,31,casia,4967
22742,滄,Traditional,滄,SimSun,3453
22743,徐,Simplified,73,casia,4308
22744,贝,Simplified,贝,SimSun,1777
22745,恢,Simplified,恢,SimSun,3291
22746,若,Oracle,J01146,hzy,2901
22747,吐,Seal,S00985,hzy,1626
22748,洛,Seal,S07922,hzy,3519
22749,漠,Simplified,48,casia,4433
22750,慰,Traditional,3,traditional,5352
22751,嗔,Traditional,嗔,SimSun,3322
22752,抽,Traditional,29,traditional,4639
22753,兴,Seal,S02001,hzy,3728
22754,攸,Oracle,J07018,hzy,2154
22755,掾,Traditional,21,traditional,5762
22756,惑,Traditional,惑,SimSun,3558
22757,搧,Traditional,19,traditional,6387
22758,忆,Simplified,27,casia,2833
22759,蔡,Simplified,蔡,SimSun,4245
22760,灸,Seal,S07323,hzy,2665
22761,沃,Simplified,122,casia,3785
22762,閭,Traditional,閭,SimSun,2680
22763,滋,Simplified,滋,Hiragino Sans GB,4293
22764,领,Simplified,领,Hiragino Sans GB,3403
22765,牽,Traditional,牽,Hiragino Sans GB,2977
22766,催,Traditional,催,SimSun,3448
22767,夏,Simplified,夏,Hiragino Sans GB,3109
22768,敗,Traditional,34,traditional,5878
22769,執,Traditional,執,SimSun,3949
22770,狙,Traditional,狙,SimSun,2706
22771,尼,Simplified,尼,Hiragino Sans GB,1835
22772,湄,Seal,S08175,hzy,3616
22773,臀,Traditional,臀,SimSun,4431
22774,吧,Simplified,吧,SimSun,1862
22775,侨,Seal,S05702,hzy,3358
22776,解,Bronze,B06415,hzy,3695
22777,杨,Simplified,杨,SimSun,3382
22778,盾,Simplified,4,casia,3476
22779,嬴,Traditional,嬴,Hiragino Sans GB,3832
22780,暴,Traditional,暴,SimSun,3630
22781,哪,Traditional,哪,SimSun,3008
22782,溪,Simplified,溪,Hiragino Sans GB,3821
22783,蔚,Simplified,蔚,SimSun,3519
22784,桥,Simplified,桥,SimSun,3389
22785,郵,Traditional,6,traditional,4398
22786,吾,Seal,S00931,hzy,2797
22787,恨,Seal,S07783,hzy,3445
22788,囉,Traditional,囉,SimSun,4813
22789,毋,Simplified,毋,SimSun,2789
22790,锻,Simplified,92,casia,5540
22791,间,Simplified,41,casia,3218
22792,蒸,Traditional,蒸,SimSun,3742
22793,轨,Simplified,轨,Hiragino Sans GB,2155
22794,漫,Traditional,19,traditional,5859
22795,彻,Bronze,B04546,hzy,3889
22796,鏈,Traditional,鏈,SimSun,4288
22797,能,Seal,S07257,hzy,3409
22798,香,Traditional,香,Hiragino Sans GB,2354
22799,豹,Simplified,豹,Hiragino Sans GB,3449
22800,撕,Traditional,6,traditional,5250
22801,冒,Traditional,冒,SimSun,1906
22802,祗,Seal,S00033,hzy,2440
22803,天,Traditional,天,Hiragino Sans GB,1692
22804,喋,Traditional,喋,SimSun,3033
22805,墨,Traditional,墨,Hiragino Sans GB,2654
22806,幹,Traditional,46,traditional,5088
22807,责,Oracle,J15758,hzy,2993
22808,仄,Seal,S06799,hzy,2054
22809,箩,Simplified,12,casia,4396
22810,恣,Simplified,12,casia,5017
22811,刃,Simplified,122,casia,3515
22812,邊,Traditional,邊,SimSun,4463
22813,仞,Seal,S05661,hzy,2270
22814,允,Simplified,84,casia,3974
22815,滋,Traditional,11,traditional,6394
22816,鬢,Traditional,鬢,Hiragino Sans GB,4643
22817,妒,Traditional,31,traditional,3917
22818,領,Traditional,領,Hiragino Sans GB,3149
22819,沦,Simplified,35,casia,4454
22820,股,Traditional,股,SimSun,3038
22821,栓,Simplified,栓,SimSun,3230
22822,窗,Simplified,窗,Hiragino Sans GB,3195
22823,群,Simplified,群,Hiragino Sans GB,2422
22824,欺,Simplified,欺,Hiragino Sans GB,2875
22825,驴,Simplified,134,casia,3831
22826,慨,Traditional,22,traditional,5336
22827,餿,Traditional,餿,Hiragino Sans GB,3512
22828,銘,Traditional,45,traditional,7156
22829,咽,Seal,S00878,hzy,3233
22830,銩,Traditional,銩,SimSun,3648
22831,炕,Traditional,炕,Hiragino Sans GB,2377
22832,臉,Traditional,臉,Hiragino Sans GB,3459
22833,窑,Simplified,窑,SimSun,3231
22834,皇,Traditional,43,traditional,3447
22835,泵,Simplified,35,casia,4045
22836,姜,Traditional,姜,Hiragino Sans GB,3100
22837,掸,Simplified,66,casia,5046
22838,叮,Traditional,叮,SimSun,1433
22839,卖,Bronze,B09661,hzy,3819
22840,皮,Bronze,B04522,hzy,2494
22841,膚,Traditional,膚,Hiragino Sans GB,3128
22842,權,Traditional,權,Hiragino Sans GB,3195
22843,蛹,Simplified,蛹,SimSun,3343
22844,熏,Simplified,9,casia,4214
22845,壓,Traditional,40,traditional,6046
22846,秧,Simplified,秧,Hiragino Sans GB,2904
22847,肘,Simplified,49,casia,3773
22848,翅,Simplified,翅,Hiragino Sans GB,2777
22849,祈,Traditional,41,traditional,4897
22850,葵,Traditional,46,traditional,5151
22851,余,Seal,S00799,hzy,2123
22852,藩,Simplified,44,casia,5056
22853,凍,Traditional,凍,SimSun,3133
22854,飘,Simplified,飘,SimSun,4306
22855,瓣,Traditional,瓣,SimSun,4149
22856,都,Bronze,B09809,hzy,3523
22857,啪,Traditional,啪,SimSun,2781
22858,顳,Traditional,顳,Hiragino Sans GB,3507
22859,役,Simplified,役,SimSun,2907
22860,罪,Traditional,42,traditional,5251
22861,燙,Traditional,燙,Hiragino Sans GB,3838
22862,熹,Simplified,熹,SimSun,3101
22863,稈,Traditional,18,traditional,5546
22864,自,Seal,S02536,hzy,2060
22865,息,Traditional,息,SimSun,2504
22866,鉗,Traditional,5,traditional,7285
22867,密,Seal,S06665,hzy,3298
22868,真,Traditional,真,SimSun,2791
22869,哏,Simplified,哏,Hiragino Sans GB,2225
22870,弄,Simplified,65,casia,3792
22871,欲,Traditional,欲,Hiragino Sans GB,3020
22872,蹄,Simplified,蹄,SimSun,3661
22873,监,Bronze,B12685,hzy,3968
22874,倒,Traditional,倒,SimSun,3436
22875,跪,Simplified,跪,SimSun,3694
22876,追,Simplified,104,casia,4265
22877,统,Seal,S09583,hzy,3399
22878,遵,Simplified,遵,Hiragino Sans GB,3117
22879,到,Simplified,80,casia,4012
22880,遏,Traditional,11,traditional,5996
22881,慄,Traditional,14,traditional,5284
22882,遥,Simplified,遥,SimSun,3594
22883,牧,Traditional,牧,SimSun,3327
22884,炭,Traditional,炭,Hiragino Sans GB,2581
22885,歡,Traditional,歡,Hiragino Sans GB,3650
22886,瘡,Traditional,瘡,SimSun,3693
22887,偏,Simplified,偏,SimSun,3200
22888,跑,Simplified,跑,SimSun,3894
22889,鑲,Traditional,44,traditional,7152
22890,蹿,Simplified,蹿,SimSun,3743
22891,沾,Traditional,15,traditional,4019
22892,昊,Traditional,昊,SimSun,2505
22893,呔,Traditional,呔,SimSun,2564
22894,矿,Seal,S06812,hzy,3889
22895,胖,Traditional,胖,Hiragino Sans GB,1948
22896,熊,Traditional,熊,Hiragino Sans GB,3329
22897,鍶,Traditional,鍶,SimSun,3922
22898,爬,Simplified,爬,SimSun,2488
22899,途,Simplified,途,Hiragino Sans GB,2687
22900,它,Seal,S10097,hzy,4046
22901,呦,Seal,S01062,hzy,3373
22902,效,Simplified,效,Hiragino Sans GB,3490
22903,阶,Simplified,阶,Hiragino Sans GB,1931
22904,唵,Traditional,唵,SimSun,3254
22905,岚,Simplified,岚,SimSun,2611
22906,勵,Traditional,34,traditional,7644
22907,闖,Traditional,56,traditional,4619
22908,淮,Simplified,89,casia,4140
22909,姊,Bronze,B16974,hzy,3616
22910,剮,Traditional,剮,SimSun,2602
22911,殒,Simplified,58,casia,5818
22912,嬌,Traditional,嬌,Hiragino Sans GB,4235
22913,名,Simplified,名,Hiragino Sans GB,2177
22914,鲑,Simplified,27,casia,5301
22915,女,Bronze,B16581,hzy,2004
22916,丘,Simplified,丘,SimSun,1793
22917,羊,Oracle,J08992,hzy,2093
22918,捶,Simplified,捶,SimSun,3209
22919,揉,Simplified,揉,Hiragino Sans GB,3201
22920,慈,Simplified,111,casia,4266
22921,三,Traditional,41,traditional,1945
22922,掬,Simplified,45,casia,5876
22923,流,Bronze,B15644,hzy,2783
22924,扯,Traditional,48,traditional,3551
22925,圖,Traditional,圖,SimSun,2500
22926,脚,Simplified,脚,Hiragino Sans GB,2490
22927,爸,Traditional,爸,SimSun,2714
22928,荊,Traditional,荊,Hiragino Sans GB,1566
22929,露,Traditional,20,traditional,7307
22930,效,Traditional,效,SimSun,3743
22931,聰,Traditional,聰,Hiragino Sans GB,3531
22932,孟,Traditional,孟,Hiragino Sans GB,2144
22933,百,Traditional,百,SimSun,1779
22934,捍,Simplified,捍,SimSun,2668
22935,紧,Seal,S02229,hzy,4543
22936,履,Simplified,105,casia,5104
22937,吋,Traditional,吋,SimSun,1762
22938,坎,Seal,S10211,hzy,2800
22939,蜡,Simplified,33,casia,5335
22940,汀,Simplified,汀,SimSun,2231
22941,犹,Bronze,B14805,hzy,4219
22942,禹,Simplified,142,casia,4241
22943,判,Traditional,41,traditional,3755
22944,推,Simplified,推,Hiragino Sans GB,2103
22945,牡,Simplified,牡,SimSun,2462
22946,茬,Simplified,22,casia,4550
22947,眶,Simplified,眶,Hiragino Sans GB,1460
22948,灘,Traditional,灘,Hiragino Sans GB,3988
22949,式,Simplified,式,SimSun,2628
22950,丰,Oracle,J12149,hzy,3289
22951,腻,Simplified,腻,Hiragino Sans GB,2858
22952,均,Bronze,B18689,hzy,2215
22953,圆,Seal,S04490,hzy,3143
22954,鑲,Traditional,鑲,SimSun,5783
22955,汲,Traditional,37,traditional,5669
22956,茂,Traditional,茂,SimSun,3265
22957,面,Seal,S06463,hzy,2911
22958,阐,Simplified,15,casia,3933
22959,旱,Seal,S04821,hzy,2208
22960,丁,Seal,S10946,hzy,1525
22961,镣,Seal,S10418,hzy,4461
22962,忖,Traditional,忖,Hiragino Sans GB,1384
22963,负,Simplified,129,casia,3818
22964,較,Traditional,較,SimSun,3646
22965,顳,Traditional,顳,SimSun,5192
22966,渺,Traditional,渺,Hiragino Sans GB,2833
22967,育,Simplified,育,Hiragino Sans GB,2302
22968,矽,Simplified,63,casia,4603
22969,车,Simplified,车,SimSun,1919
22970,慰,Simplified,慰,Hiragino Sans GB,2849
22971,亦,Bronze,B15010,hzy,2029
22972,溺,Simplified,溺,SimSun,4194
22973,菅,Simplified,菅,SimSun,2168
22974,俾,Simplified,52,casia,4383
22975,淹,Simplified,140,casia,4460
22976,氧,Traditional,氧,Hiragino Sans GB,2417
22977,份,Traditional,24,traditional,4115
22978,步,Simplified,86,casia,2556
22979,度,Simplified,8,casia,4486
22980,穿,Traditional,穿,SimSun,3223
22981,镜,Seal,S10448,hzy,4647
22982,窜,Seal,S05335,hzy,3923
22983,桉,Simplified,38,casia,4489
22984,礙,Traditional,40,traditional,6053
22985,狗,Simplified,18,casia,4305
22986,另,Simplified,另,Hiragino Sans GB,1731
22987,药,Simplified,8,casia,4348
22988,猎,Simplified,猎,SimSun,3524
22989,嗄,Simplified,嗄,Hiragino Sans GB,3160
22990,林,Oracle,J14376,hzy,3377
22991,炼,Simplified,炼,Hiragino Sans GB,3181
22992,蛤,Traditional,蛤,Hiragino Sans GB,2390
22993,撅,Simplified,41,casia,5242
22994,鴨,Traditional,鴨,Hiragino Sans GB,2843
22995,屌,Traditional,屌,SimSun,2274
22996,疏,Simplified,疏,Hiragino Sans GB,2897
22997,即,Simplified,139,casia,3538
22998,就,Seal,S03836,hzy,3234
22999,起,Simplified,48,casia,4126
23000,晋,Oracle,J16088,hzy,2402
23001,最,Traditional,29,traditional,6573
23002,待,Traditional,待,Hiragino Sans GB,1913
23003,漾,Seal,S07911,hzy,4393
23004,圈,Traditional,33,traditional,5648
23005,六,Simplified,六,SimSun,1457
23006,势,Simplified,49,casia,4507
23007,歪,Traditional,歪,SimSun,2801
23008,勃,Simplified,勃,SimSun,3236
23009,北,Bronze,B12614,hzy,1946
23010,柠,Simplified,66,casia,4675
23011,卅,Simplified,卅,Hiragino Sans GB,1074
23012,诡,Seal,S01898,hzy,3686
23013,啧,Simplified,啧,Hiragino Sans GB,2330
23014,扔,Simplified,扔,SimSun,3034
23015,析,Simplified,析,Hiragino Sans GB,1864
23016,荡,Simplified,荡,Hiragino Sans GB,2597
23017,猎,Simplified,猎,Hiragino Sans GB,2572
23018,甬,Simplified,甬,Hiragino Sans GB,2189
23019,蕃,Simplified,蕃,Hiragino Sans GB,3367
23020,伺,Simplified,伺,SimSun,2269
23021,魂,Seal,S06606,hzy,3521
23022,做,Traditional,20,traditional,5322
23023,頓,Traditional,19,traditional,5574
23024,熟,Simplified,100,casia,4629
23025,淵,Traditional,淵,Hiragino Sans GB,2189
23026,铅,Simplified,5,casia,4365
23027,旋,Simplified,31,casia,4866
23028,撼,Simplified,137,casia,5208
23029,賢,Traditional,58,traditional,5644
23030,黛,Seal,S07431,hzy,5750
23031,騏,Traditional,騏,SimSun,3918
23032,帖,Simplified,帖,SimSun,1681
23033,稠,Traditional,稠,SimSun,4021
23034,廿,Bronze,B02914,hzy,1529
23035,透,Simplified,8,casia,5130
23036,席,Simplified,席,SimSun,2429
23037,萌,Traditional,萌,Hiragino Sans GB,2048
23038,困,Traditional,26,traditional,3981
23039,溜,Traditional,溜,Hiragino Sans GB,3137
23040,热,Simplified,热,SimSun,3458
23041,江,Simplified,98,casia,2550
23042,遵,Seal,S01233,hzy,5071
23043,唆,Simplified,唆,Hiragino Sans GB,3222
23044,齐,Oracle,J16892,hzy,2781
23045,灾,Simplified,灾,Hiragino Sans GB,2067
23046,餒,Traditional,餒,SimSun,4351
23047,柱,Simplified,柱,Hiragino Sans GB,1863
23048,逗,Seal,S01288,hzy,3402
23049,压,Seal,S10252,hzy,3752
23050,兄,Oracle,J20735,hzy,1775
23051,拂,Simplified,拂,Hiragino Sans GB,2437
23052,筐,Simplified,76,casia,4397
23053,彰,Traditional,彰,Hiragino Sans GB,2519
23054,犬,Traditional,24,traditional,3384
23055,笞,Traditional,笞,SimSun,2934
23056,企,Simplified,企,SimSun,2175
23057,冉,Traditional,37,traditional,4188
23058,蔫,Traditional,蔫,Hiragino Sans GB,2331
23059,蘑,Traditional,蘑,Hiragino Sans GB,3378
23060,娑,Traditional,32,traditional,5105
23061,豁,Traditional,豁,SimSun,3451
23062,鬱,Traditional,鬱,SimSun,6380
23063,扯,Simplified,扯,SimSun,2233
23064,沁,Traditional,沁,Hiragino Sans GB,2110
23065,删,Seal,S03179,hzy,4531
23066,址,Seal,S10845,hzy,3335
23067,担,Simplified,125,casia,4210
23068,翠,Simplified,翠,SimSun,3823
23069,锯,Simplified,锯,SimSun,3239
23070,圆,Simplified,132,casia,4692
23071,澡,Simplified,澡,Hiragino Sans GB,2880
23072,唾,Simplified,唾,SimSun,2770
23073,棉,Traditional,棉,SimSun,3079
23074,旋,Traditional,40,traditional,6310
23075,羹,Traditional,羹,SimSun,4584
23076,油,Traditional,油,Hiragino Sans GB,1952
23077,肚,Traditional,0,traditional,3830
23078,蔓,Traditional,蔓,Hiragino Sans GB,3433
23079,楼,Simplified,楼,SimSun,4161
23080,萃,Simplified,萃,SimSun,3065
23081,贯,Seal,S04957,hzy,3154
23082,告,Simplified,40,casia,3632
23083,彈,Traditional,彈,Hiragino Sans GB,2327
23084,娃,Simplified,115,casia,4566
23085,载,Bronze,B19608,hzy,3433
23086,俄,Traditional,俄,SimSun,3850
23087,钦,Bronze,B13584,hzy,3382
23088,捧,Traditional,25,traditional,5633
23089,谋,Simplified,135,casia,4164
23090,馍,Simplified,馍,Hiragino Sans GB,3127
23091,扣,Traditional,24,traditional,4317
23092,秀,Simplified,95,casia,4136
23093,弛,Traditional,弛,Hiragino Sans GB,2419
23094,走,Traditional,22,traditional,3665
23095,激,Simplified,激,Hiragino Sans GB,3798
23096,搏,Seal,S08853,hzy,3997
23097,涉,Simplified,9,casia,3813
23098,轨,Simplified,76,casia,3981
23099,讲,Seal,S01766,hzy,5420
23100,带,Simplified,带,Hiragino Sans GB,1495
23101,刀,Oracle,J10698,hzy,1275
23102,中,Seal,S00273,hzy,1538
23103,例,Simplified,例,Hiragino Sans GB,2331
23104,滷,Traditional,滷,Hiragino Sans GB,2823
23105,裔,Seal,S06040,hzy,3625
23106,沏,Traditional,沏,SimSun,3156
23107,坎,Traditional,5,traditional,4987
23108,知,Simplified,8,casia,4035
23109,負,Traditional,負,SimSun,2822
23110,甘,Oracle,J11245,hzy,2370
23111,陷,Seal,S10826,hzy,3996
23112,比,Traditional,比,SimSun,1948
23113,论,Simplified,58,casia,4383
23114,硫,Simplified,硫,SimSun,3849
23115,雌,Simplified,雌,SimSun,3446
23116,锥,Seal,S10528,hzy,3710
23117,针,Simplified,80,casia,3045
23118,汲,Simplified,汲,Hiragino Sans GB,3138
23119,蟻,Traditional,蟻,Hiragino Sans GB,3801
23120,義,Traditional,25,traditional,5694
23121,徽,Traditional,徽,Hiragino Sans GB,4625
23122,昼,Simplified,昼,SimSun,2259
23123,家,Simplified,家,Hiragino Sans GB,3446
23124,姐,Traditional,8,traditional,4697
23125,插,Simplified,130,casia,4716
23126,蟠,Simplified,蟠,SimSun,4174
23127,卅,Simplified,3,casia,2992
23128,疾,Traditional,30,traditional,5184
23129,熏,Bronze,B00735,hzy,2845
23130,供,Traditional,供,SimSun,2481
23131,仰,Seal,S05776,hzy,2282
23132,士,Traditional,士,SimSun,1079
23133,驯,Simplified,驯,SimSun,2400
23134,庚,Traditional,庚,Hiragino Sans GB,2501
23135,堑,Seal,S10246,hzy,3340
23136,帮,Simplified,43,casia,3662
23137,姐,Simplified,姐,SimSun,3138
23138,淮,Traditional,淮,SimSun,3162
23139,毯,Simplified,75,casia,4770
23140,戆,Seal,S07717,hzy,5931
23141,樱,Simplified,樱,Hiragino Sans GB,4124
23142,跑,Simplified,跑,Hiragino Sans GB,3082
23143,酥,Simplified,97,casia,5395
23144,纯,Simplified,纯,Hiragino Sans GB,2370
23145,盼,Simplified,138,casia,4433
23146,鱼,Simplified,鱼,Hiragino Sans GB,2075
23147,掂,Simplified,68,casia,5079
23148,诓,Simplified,42,casia,4749
23149,寶,Traditional,寶,SimSun,3943
23150,氟,Traditional,氟,Hiragino Sans GB,2778
23151,榨,Traditional,榨,SimSun,3770
23152,鹹,Traditional,鹹,Hiragino Sans GB,3630
23153,漂,Simplified,漂,Hiragino Sans GB,3030
23154,碍,Simplified,碍,Hiragino Sans GB,2367
23155,省,Traditional,4,traditional,3783
23156,啤,Traditional,40,traditional,5152
23157,馬,Traditional,馬,SimSun,2724
23158,奄,Simplified,76,casia,4225
23159,许,Simplified,92,casia,3267
23160,廉,Traditional,廉,Hiragino Sans GB,3457
23161,巳,Traditional,巳,Hiragino Sans GB,1331
23162,葵,Simplified,葵,SimSun,3610
23163,直,Traditional,直,Hiragino Sans GB,1682
23164,屎,Simplified,47,casia,4315
23165,斩,Simplified,斩,SimSun,3051
23166,梵,Seal,S04429,hzy,3124
23167,氧,Traditional,16,traditional,4048
23168,系,Traditional,系,SimSun,4103
23169,薰,Simplified,25,casia,4841
23170,棚,Seal,S04291,hzy,5666
23171,雷,Simplified,雷,SimSun,2239
23172,童,Traditional,37,traditional,4517
23173,從,Traditional,從,Hiragino Sans GB,2920
23174,育,Oracle,J30823,hzy,2885
23175,醮,Simplified,38,casia,6048
23176,鋁,Traditional,鋁,SimSun,3551
23177,疵,Traditional,疵,SimSun,2767
23178,的,Traditional,的,Hiragino Sans GB,2022
23179,晌,Traditional,19,traditional,3948
23180,疾,Traditional,疾,Hiragino Sans GB,3038
23181,佑,Simplified,124,casia,4629
23182,耕,Traditional,39,traditional,5739
23183,页,Bronze,B13616,hzy,2810
23184,很,Simplified,很,Hiragino Sans GB,2581
23185,反,Oracle,J05903,hzy,1676
23186,变,Bronze,B04612,hzy,3326
23187,店,Simplified,47,casia,3713
23188,席,Oracle,J18565,hzy,3563
23189,惦,Traditional,惦,SimSun,2659
23190,严,Simplified,严,Hiragino Sans GB,1596
23191,折,Simplified,折,SimSun,2654
23192,桌,Simplified,桌,Hiragino Sans GB,2168
23193,也,Seal,S09381,hzy,2436
23194,季,Oracle,J30773,hzy,2389
23195,尤,Simplified,104,casia,3250
23196,嗣,Traditional,嗣,SimSun,3155
23197,粹,Simplified,粹,SimSun,3529
23198,烁,Seal,S07391,hzy,4144
23199,喜,Bronze,B07286,hzy,2985
23200,冥,Traditional,冥,SimSun,2532
23201,镬,Seal,S10457,hzy,4678
23202,饿,Simplified,75,casia,5701
23203,剂,Simplified,剂,SimSun,2444
23204,烟,Simplified,54,casia,4811
23205,熙,Seal,S07387,hzy,3048
23206,远,Simplified,远,SimSun,2458
23207,乙,Traditional,7,traditional,2893
23208,貌,Simplified,85,casia,5268
23209,漆,Traditional,漆,Hiragino Sans GB,3515
23210,龟,Bronze,B18589,hzy,3836
23211,藕,Traditional,33,traditional,6683
23212,瓊,Traditional,瓊,Hiragino Sans GB,4612
23213,謙,Traditional,39,traditional,7540
23214,涮,Simplified,涮,SimSun,3608
23215,仁,Traditional,39,traditional,2737
23216,透,Traditional,51,traditional,5280
23217,映,Seal,S04865,hzy,2873
23218,忍,Traditional,忍,Hiragino Sans GB,2896
23219,賬,Traditional,30,traditional,5446
23220,釜,Traditional,釜,SimSun,3264
23221,始,Simplified,始,Hiragino Sans GB,3114
23222,洛,Traditional,洛,Hiragino Sans GB,2686
23223,渡,Traditional,渡,Hiragino Sans GB,3133
23224,洞,Simplified,洞,Hiragino Sans GB,1700
23225,窑,Simplified,窑,Hiragino Sans GB,2099
23226,辖,Seal,S10752,hzy,4653
23227,止,Traditional,27,traditional,2474
23228,蘊,Traditional,蘊,Hiragino Sans GB,3210
23229,旁,Traditional,旁,SimSun,2929
23230,店,Simplified,店,SimSun,1718
23231,阑,Bronze,B16214,hzy,3850
23232,江,Traditional,4,traditional,3328
23233,献,Oracle,J22666,hzy,3540
23234,攢,Traditional,35,traditional,6582
23235,茉,Simplified,茉,SimSun,2424
23236,妲,Seal,S09362,hzy,2866
23237,醋,Seal,S11060,hzy,4828
23238,淘,Simplified,淘,SimSun,3890
23239,像,Simplified,12,casia,5046
23240,癱,Traditional,癱,Hiragino Sans GB,4193
23241,肆,Simplified,121,casia,4310
23242,木,Bronze,B08564,hzy,1707
23243,肖,Traditional,肖,SimSun,1828
23244,易,Traditional,37,traditional,4487
23245,轮,Simplified,轮,Hiragino Sans GB,2597
23246,吐,Simplified,3,casia,3161
23247,筋,Simplified,74,casia,4690
23248,吴,Seal,S07490,hzy,2427
23249,罚,Simplified,罚,SimSun,2599
23250,醋,Simplified,醋,SimSun,3543
23251,炒,Traditional,炒,SimSun,2741
23252,環,Traditional,44,traditional,8086
23253,屑,Traditional,屑,Hiragino Sans GB,2105
23254,淮,Traditional,淮,Hiragino Sans GB,2165
23255,维,Simplified,82,casia,4874
23256,米,Traditional,11,traditional,4249
23257,出,Traditional,出,SimSun,1382
23258,蕪,Traditional,34,traditional,5401
23259,甘,Traditional,甘,Hiragino Sans GB,1022
23260,寝,Bronze,B11692,hzy,2942
23261,交,Simplified,129,casia,3010
23262,浸,Traditional,1,traditional,5518
23263,房,Seal,S08694,hzy,2763
23264,拮,Simplified,拮,SimSun,2524
23265,辑,Simplified,辑,SimSun,3382
23266,渝,Simplified,66,casia,3966
23267,亩,Seal,S10324,hzy,3843
23268,熬,Traditional,熬,SimSun,3936
23269,泉,Traditional,泉,Hiragino Sans GB,2577
23270,健,Seal,S05709,hzy,3366
23271,叛,Traditional,27,traditional,5669
23272,咂,Traditional,咂,SimSun,2134
23273,滩,Seal,S08182,hzy,5917
23274,尺,Simplified,尺,Hiragino Sans GB,1813
23275,了,Simplified,了,Hiragino Sans GB,1312
23276,醃,Traditional,醃,SimSun,4194
23277,娘,Simplified,娘,Hiragino Sans GB,3204
23278,境,Seal,S10293,hzy,3590
23279,珂,Simplified,珂,SimSun,2503
23280,擰,Traditional,48,traditional,5719
23281,膨,Traditional,膨,SimSun,4412
23282,祷,Simplified,138,casia,4581
23283,卡,Simplified,29,casia,2206
23284,夜,Simplified,夜,SimSun,3455
23285,阻,Simplified,118,casia,4712
23286,材,Seal,S04160,hzy,2399
23287,掀,Seal,S08953,hzy,3280
23288,矜,Simplified,矜,SimSun,3140
23289,鉿,Traditional,鉿,SimSun,3381
23290,形,Traditional,29,traditional,4455
23291,只,Oracle,J08686,hzy,2536
23292,楠,Simplified,4,casia,4802
23293,麗,Traditional,麗,Hiragino Sans GB,3932
23294,泱,Traditional,泱,Hiragino Sans GB,2868
23295,槽,Simplified,槽,SimSun,3566
23296,蒂,Simplified,蒂,SimSun,3123
23297,震,Traditional,震,SimSun,3301
23298,職,Traditional,職,SimSun,4210
23299,侶,Traditional,20,traditional,4354
23300,尺,Traditional,尺,Hiragino Sans GB,1813
23301,眨,Traditional,眨,SimSun,2644
23302,敞,Simplified,敞,SimSun,3537
23303,再,Oracle,J09960,hzy,2882
23304,祝,Bronze,B00292,hzy,2281
23305,曰,Simplified,曰,SimSun,1309
23306,分,Traditional,分,SimSun,1880
23307,蜗,Simplified,126,casia,5553
23308,宇,Seal,S05219,hzy,2071
23309,字,Simplified,42,casia,3418
23310,遜,Traditional,遜,SimSun,4576
23311,栓,Traditional,22,traditional,5024
23312,滬,Traditional,滬,Hiragino Sans GB,2813
23313,阀,Simplified,阀,SimSun,3556
23314,淖,Traditional,淖,Hiragino Sans GB,2067
23315,會,Traditional,會,SimSun,3010
23316,阻,Simplified,阻,SimSun,2565
23317,砂,Traditional,3,traditional,4746
23318,善,Simplified,善,SimSun,2659
23319,捅,Traditional,捅,SimSun,2951
23320,琵,Traditional,琵,SimSun,3512
23321,涅,Traditional,涅,Hiragino Sans GB,1872
23322,丁,Simplified,99,casia,1954
23323,巳,Traditional,19,traditional,4092
23324,搜,Simplified,133,casia,4842
23325,搞,Traditional,搞,SimSun,3078
23326,虚,Simplified,105,casia,4767
23327,县,Bronze,B13840,hzy,4172
