character,pinyin,period,type,complexity,dataset,image_ID,dropdown_label
饲,si4,Seal,pictophonetic,335.6321312170705,hzy,S03710,饲 (si4)
饵,er3,Seal,pictophonetic,340.27652014696565,hzy,S02124,饵 (er3)
饶,rao2,Seal,pictophonetic,405.07154777166767,hzy,S03737,饶 (rao2)
饼,bing3,Seal,pictophonetic,386.3552953692569,hzy,S03694,饼 (bing3)
饿,e4,Seal,pictophonetic,401.0373690527289,hzy,S03755,饿 (e4)
馆,guan3,Seal,pictophonetic,364.299409739585,hzy,S03742,馆 (guan3)
馏,liu2,Seal,pictophonetic,438.7717530743082,hzy,S03685,馏 (liu2)
首,shou3,Bronze,pictographic,282.46364546428737,hzy,B13738,首 (shou3)
首,shou3,Oracle,pictographic,275.6119925198361,hzy,J21006,首 (shou3)
首,shou3,Seal,pictographic,302.8424497154538,hzy,S06470,首 (shou3)
香,xiang1,Oracle,pictosynthetic,249.0845688652102,hzy,J17349,香 (xiang1)
香,xiang1,Seal,pictosynthetic,353.34503485699014,hzy,S05109,香 (xiang1)
馨,xin1,Seal,pictophonetic,511.67041837997846,hzy,S05110,馨 (xin1)
马,ma3,Bronze,pictographic,272.3733857422113,hzy,B14646,马 (ma3)
马,ma3,Oracle,pictographic,237.123847740633,hzy,J22193,马 (ma3)
马,ma3,Seal,pictographic,321.6919581485909,hzy,S06958,马 (ma3)
驭,yu4,Seal,pictosynthetic,387.0698694486702,hzy,S01413,驭 (yu4)
驮,tuo2,Seal,pictophonetic,334.6648867327621,hzy,S07084,驮 (tuo2)
驯,xun4,Seal,pictophonetic,449.8924747148299,hzy,S07050,驯 (xun4)
驰,chi2,Seal,pictophonetic,423.8650035469833,hzy,S07037,驰 (chi2)
驱,qu1,Oracle,pictophonetic,216.9826275120677,hzy,J22220,驱 (qu1)
驱,qu1,Seal,pictophonetic,417.3638369092327,hzy,S07035,驱 (qu1)
驳,bo2,Oracle,pictosynthetic,261.6098177463448,hzy,J22215,驳 (bo2)
