,rendered_character,simplified_character,period,image_id,dataset,distinctiveness,nearest neighbours,period_stream
153,勿,勿,Bronze,B14434,hzy,128.72152263059692,"['多', '四', '气', '考', '弓', '史', '司', '羞', '九', '廿']",Oracle
154,正,正,Bronze,B01906,hzy,90.97407096951284,"['王', '舟', '午', '玉', '工', '于', '壬', '口', '止', '士']",Oracle
155,之,之,Bronze,B09147,hzy,106.5211602458805,"['止', '卅', '山', '时', '舟', '生', '正', '八', '廿', '亡']",Oracle
156,玉,玉,Bronze,B00545,hzy,84.69396969625369,"['王', '壬', '工', '三', '于', '士', '上', '五', '正', '午']",Oracle
157,蒙,蒙,Bronze,B00815,hzy,139.41328927770692,"['礼', '眉', '买', '登', '使', '喜', '鹿', '受', '页', '解']",Oracle
158,因,因,Bronze,B09425,hzy,111.86481559304396,"['百', '依', '耳', '宅', '田', '宋', '贝', '丹', '伯', '夕']",Oracle
159,邦,邦,Bronze,B09785,hzy,124.34795324159292,"['格', '葬', '友', '枚', '卜', '干', '廿', '巳', '攸', '羞']",Oracle
160,如,如,Bronze,B17060,hzy,114.88806730290584,"['弗', '戎', '女', '丹', '侯', '央', '巳', '尹', '井', '名']",Oracle
161,使,使,Bronze,B12364,hzy,128.35396684369542,"['退', '页', '队', '传', '敏', '尊', '受', '保', '视', '陆']",Oracle
162,仲,仲,Bronze,B12253,hzy,106.40213825175296,"['巾', '女', '中', '士', '甲', '母', '伯', '方', '七', '人']",Oracle
163,日,日,Bronze,B09952,hzy,91.1984601772846,"['旦', '口', '巳', '丙', '伯', '夕', '氏', '耳', '己', '月']",Oracle
164,涉,涉,Bronze,B15645,hzy,124.5652373322558,"['蜀', '网', '炎', '乐', '廿', '衍', '上', '成', '幼', '队']",Oracle
165,旁,旁,Bronze,B00150,hzy,127.30443545932856,"['同', '晨', '君', '命', '成', '步', '高', '家', '仓', '得']",Oracle
166,牢,牢,Bronze,B01160,hzy,121.5311524736068,"['宋', '卿', '上', '一', '畏', '异', '厂', '口', '冬', '雨']",Oracle
167,逐,逐,Bronze,B02243,hzy,119.79673971513672,"['龙', '帝', '客', '去', '鸟', '吹', '季', '盂', '畜', '旧']",Oracle
168,弗,弗,Bronze,B17193,hzy,111.01903662739348,"['井', '尹', '如', '女', '田', '奴', '次', '戎', '卯', '且']",Oracle
169,克,克,Bronze,B10919,hzy,121.6525261311114,"['首', '同', '步', '毕', '得', '自', '邑', '喜', '游', '朱']",Oracle
170,监,监,Bronze,B12685,hzy,126.99102120243438,"['犹', '听', '献', '牡', '祖', '唯', '畜', '昱', '蔑', '室']",Oracle
171,叔,叔,Bronze,B04060,hzy,117.90355632724672,"['奴', '相', '卜', '鸟', '丹', '死', '林', '父', '井', '廿']",Oracle
172,朱,朱,Bronze,B08640,hzy,90.2903761832316,"['木', '矢', '不', '干', '生', '士', '兄', '七', '甲', '夭']",Oracle
173,乎,乎,Bronze,B07131,hzy,116.58173635084358,"['于', '夫', '问', '天', '亦', '方', '王', '玉', '少', '分']",Oracle
174,御,御,Bronze,B02445,hzy,130.94958117450125,"['龟', '敏', '直', '率', '犬', '楚', '葬', '队', '疆', '强']",Oracle
175,攻,攻,Bronze,B04716,hzy,118.4604263600118,"['伐', '工', '攸', '午', '壬', '公', '在', '少', '月', '正']",Oracle
176,只,只,Bronze,B05594,hzy,116.90509144408092,"['象', '受', '侯', '爰', '鸟', '羞', '午', '百', '犀', '再']",Oracle
177,鼎,鼎,Bronze,B10706,hzy,121.69404022250993,"['死', '步', '甫', '友', '京', '宾', '成', '休', '终', '用']",Oracle
178,闻,闻,Bronze,B16272,hzy,119.00943917240608,"['卫', '宜', '飨', '臣', '白', '步', '廿', '周', '伯', '晨']",Oracle
179,龟,龟,Bronze,B18589,hzy,129.70865843038737,"['敏', '御', '伐', '葬', '我', '兴', '车', '妃', '上', '束']",Oracle
180,听,听,Bronze,B16265,hzy,125.98901157716224,"['陵', '蔑', '马', '犀', '监', '唯', '步', '卫', '昱', '飨']",Oracle
181,媚,媚,Bronze,B17046,hzy,136.29155814583328,"['奠', '育', '增', '受', '曾', '页', '牡', '步', '尊', '一']",Oracle
182,淮,淮,Bronze,B15516,hzy,126.09570061013429,"['黍', '保', '唯', '兵', '视', '队', '畏', '卜', '沈', '上']",Oracle
183,目,目,Bronze,B04987,hzy,107.73656137979894,"['臣', '百', '自', '夕', '小', '五', '同', '贝', '仓', '丹']",Oracle
184,旬,旬,Bronze,B14185,hzy,111.77190537598808,"['曾', '司', '丑', '月', '句', '向', '廿', '臣', '安', '角']",Oracle
185,齿,齿,Bronze,B02614,hzy,119.75524735806933,"['时', '省', '作', '牧', '成', '既', '句', '告', '唯', '岁']",Oracle
186,九,九,Bronze,B19943,hzy,105.04340958353524,"['弓', '丑', '又', '尸', '气', '允', '尹', '斗', '女', '乙']",Oracle
187,厂,厂,Bronze,B14366,hzy,86.71127003870629,"['上', '口', '午', '斤', '工', '壬', '三', '二', '廿', '终']",Oracle
188,新,新,Bronze,B19487,hzy,120.38718299532395,"['竞', '宋', '卜', '人', '鸟', '廿', '上', '我', '利', '帝']",Oracle
189,犬,犬,Bronze,B14754,hzy,115.97482112140848,"['丁', '上', '率', '廿', '午', '队', '一', '休', '安', '人']",Oracle
190,州,州,Bronze,B15680,hzy,106.43799086432894,"['水', '休', '卅', '丑', '屯', '至', '率', '又', '角', '队']",Oracle
191,历,历,Bronze,B01807,hzy,142.39750489458976,"['雨', '寝', '厂', '室', '宰', '兵', '冬', '上', '采', '宋']",Oracle
192,鬼,鬼,Bronze,B14245,hzy,122.07045636545683,"['武', '或', '豚', '午', '亟', '工', '伐', '上', '唯', '壬']",Oracle
193,攸,攸,Bronze,B04678,hzy,118.94708050526336,"['伐', '葬', '休', '传', '攻', '友', '敏', '利', '羞', '廿']",Oracle
194,若,若,Bronze,B00797,hzy,127.99289064974354,"['炎', '异', '兴', '盟', '友', '出', '见', '中', '在', '诺']",Oracle
