participantid,condition,trialnum,character,rating,flip,controlscore
51,hwtrad,47,勺,4,flip,5
51,hwtrad,48,午,4,flip,5
51,hwtrad,49,鼎,4,noflip,5
51,hwtrad,50,壬,4,flip,5
51,hwtrad,51,巴,4,flip,5
51,hwtrad,52,缶,3,flip,5
51,hwtrad,53,己,1,flip,5
51,hwtrad,54,control_匜_也,4,noflip,5
51,hwtrad,55,雨,5,noflip,5
52,hwtrad,1,函,5,flip,5
52,hwtrad,2,巾,5,noflip,5
52,hwtrad,3,control_卡_上,5,noflip,5
52,hwtrad,4,兽,5,noflip,5
52,hwtrad,5,鱼,4,noflip,5
52,hwtrad,6,斤,5,noflip,5
52,hwtrad,7,宫,5,flip,5
52,hwtrad,8,气,5,flip,5
52,hwtrad,9,自,1,noflip,5
52,hwtrad,10,control_乇_七,5,noflip,5
52,hwtrad,11,牛,3,flip,5
52,hwtrad,12,才,3,flip,5
52,hwtrad,13,乙,5,noflip,5
52,hwtrad,14,用,5,flip,5
52,hwtrad,15,亚,3,noflip,5
52,hwtrad,16,页,1,flip,5
52,hwtrad,17,侯,5,noflip,5
52,hwtrad,18,火,2,noflip,5
52,hwtrad,19,面,3,flip,5
52,hwtrad,20,control_匜_也,4,noflip,5
52,hwtrad,21,东,4,noflip,5
52,hwtrad,22,果,5,flip,5
52,hwtrad,23,禾,2,flip,5
52,hwtrad,24,糸,5,flip,5
52,hwtrad,25,儿,5,noflip,5
52,hwtrad,26,豆,3,flip,5
52,hwtrad,27,大,2,flip,5
52,hwtrad,28,兆,4,flip,5
52,hwtrad,29,马,3,noflip,5
52,hwtrad,30,井,3,flip,5
52,hwtrad,31,犬,0,flip,5
52,hwtrad,32,鼎,2,flip,5
52,hwtrad,33,于,5,flip,5
52,hwtrad,34,齿,5,flip,5
52,hwtrad,35,弗,2,flip,5
52,hwtrad,36,水,1,flip,5
52,hwtrad,37,长,5,flip,5
52,hwtrad,38,象,5,flip,5
52,hwtrad,39,杏,5,noflip,5
52,hwtrad,40,介,1,flip,5
52,hwtrad,41,control_咫_只,5,flip,5
52,hwtrad,42,燕,5,flip,5
52,hwtrad,43,文,1,flip,5
52,hwtrad,44,鸟,2,flip,5
52,hwtrad,45,又,0,noflip,5
52,hwtrad,46,庚,0,noflip,5
52,hwtrad,47,门,3,flip,5
52,hwtrad,48,control_刓_元,5,noflip,5
52,hwtrad,49,鹿,5,noflip,5
52,hwtrad,50,它,0,flip,5
52,hwtrad,51,勿,1,noflip,5
52,hwtrad,52,丹,2,noflip,5
52,hwtrad,53,弓,4,noflip,5
52,hwtrad,54,虎,1,flip,5
52,hwtrad,55,歹,4,flip,5
53,hwtrad,1,句,3,flip,5
53,hwtrad,2,犬,1,flip,5
53,hwtrad,3,马,0,flip,5
53,hwtrad,4,糸,1,flip,5
53,hwtrad,5,以,4,noflip,5
53,hwtrad,6,羽,2,flip,5
53,hwtrad,7,京,2,noflip,5
53,hwtrad,8,父,3,noflip,5
53,hwtrad,9,老,4,flip,5
53,hwtrad,10,未,2,flip,5
53,hwtrad,11,贝,2,flip,5
53,hwtrad,12,水,1,flip,5
53,hwtrad,13,豆,2,flip,5
53,hwtrad,14,介,2,noflip,5
53,hwtrad,15,夫,2,noflip,5
53,hwtrad,16,永,3,flip,5
53,hwtrad,17,鹿,3,flip,5
53,hwtrad,18,石,2,noflip,5
53,hwtrad,19,斗,2,flip,5
53,hwtrad,20,九,2,noflip,5
53,hwtrad,21,衣,2,flip,5
53,hwtrad,22,目,2,flip,5
53,hwtrad,23,才,3,flip,5
53,hwtrad,24,巾,3,flip,5
53,hwtrad,25,卜,2,flip,5
53,hwtrad,26,丹,3,noflip,5
53,hwtrad,27,白,3,flip,5
53,hwtrad,28,且,3,flip,5
53,hwtrad,29,斤,2,flip,5
53,hwtrad,30,册,1,flip,5
53,hwtrad,31,蜀,4,noflip,5
53,hwtrad,32,廾,2,flip,5
53,hwtrad,33,主,1,noflip,5
53,hwtrad,34,耳,2,flip,5
53,hwtrad,35,control_匜_也,4,flip,5
53,hwtrad,36,页,0,flip,5
53,hwtrad,37,control_卡_上,3,noflip,5
53,hwtrad,38,田,2,noflip,5
53,hwtrad,39,兔,1,noflip,5
53,hwtrad,40,卯,3,noflip,5
53,hwtrad,41,人,2,noflip,5
53,hwtrad,42,燕,0,flip,5
53,hwtrad,43,寅,2,flip,5
53,hwtrad,44,川,1,flip,5
53,hwtrad,45,control_刓_元,4,flip,5
53,hwtrad,46,吕,3,noflip,5
53,hwtrad,47,巴,1,noflip,5
53,hwtrad,48,鱼,2,noflip,5
53,hwtrad,49,辛,3,noflip,5
53,hwtrad,50,首,3,flip,5
53,hwtrad,51,兽,3,flip,5
53,hwtrad,52,control_乇_七,3,noflip,5
53,hwtrad,53,果,2,flip,5
53,hwtrad,54,儿,1,flip,5
53,hwtrad,55,control_咫_只,3,flip,5
54,hwtrad,1,云,5,noflip,5
54,hwtrad,2,网,1,flip,5
54,hwtrad,3,鬼,4,flip,5
54,hwtrad,4,高,5,flip,5
54,hwtrad,5,弗,5,flip,5
54,hwtrad,6,宫,0,flip,5
54,hwtrad,7,control_咫_只,5,flip,5
54,hwtrad,8,衣,1,flip,5
54,hwtrad,9,control_刓_元,4,noflip,5
54,hwtrad,10,木,1,flip,5
54,hwtrad,11,且,5,flip,5
54,hwtrad,12,母,1,flip,5
54,hwtrad,13,雨,4,flip,5
54,hwtrad,14,土,1,flip,5
54,hwtrad,15,燕,5,noflip,5
54,hwtrad,16,缶,0,flip,5
54,hwtrad,17,长,0,flip,5
54,hwtrad,18,control_匜_也,5,flip,5
54,hwtrad,19,丘,0,noflip,5
54,hwtrad,20,丹,0,noflip,5
54,hwtrad,21,寅,5,noflip,5
54,hwtrad,22,control_乇_七,5,flip,5
54,hwtrad,23,鼠,5,flip,5
54,hwtrad,24,耳,0,flip,5
54,hwtrad,25,不,0,flip,5
54,hwtrad,26,田,5,noflip,5
54,hwtrad,27,己,0,flip,5
54,hwtrad,28,册,0,flip,5
54,hwtrad,29,门,0,flip,5
54,hwtrad,30,泉,0,flip,5
54,hwtrad,31,白,5,flip,5
54,hwtrad,32,卜,1,flip,5
54,hwtrad,33,贝,0,noflip,5
54,hwtrad,34,面,0,flip,5
54,hwtrad,35,兽,5,flip,5
54,hwtrad,36,马,0,flip,5
54,hwtrad,37,control_卡_上,3,flip,5
54,hwtrad,38,尸,4,flip,5
54,hwtrad,39,又,3,noflip,5
54,hwtrad,40,若,4,flip,5
54,hwtrad,41,兕,0,noflip,5
54,hwtrad,42,米,0,flip,5
54,hwtrad,43,甫,1,flip,5
54,hwtrad,44,眉,4,flip,5
54,hwtrad,45,廾,5,noflip,5
54,hwtrad,46,杏,4,flip,5
54,hwtrad,47,兔,4,flip,5
54,hwtrad,48,登,5,noflip,5
54,hwtrad,49,户,0,flip,5
54,hwtrad,50,辰,4,noflip,5
54,hwtrad,51,午,3,noflip,5
54,hwtrad,52,蜀,0,noflip,5
54,hwtrad,53,工,1,noflip,5
54,hwtrad,54,飞,4,flip,5
54,hwtrad,55,象,4,noflip,5
55,hwtrad,1,缶,4,noflip,5
55,hwtrad,2,大,2,flip,5
55,hwtrad,3,井,2,flip,5
55,hwtrad,4,齿,5,flip,5
55,hwtrad,5,子,1,noflip,5
55,hwtrad,6,京,3,noflip,5
55,hwtrad,7,control_刓_元,3,noflip,5
55,hwtrad,8,斗,2,noflip,5
55,hwtrad,9,巴,1,noflip,5
55,hwtrad,10,川,2,flip,5
55,hwtrad,11,登,2,flip,5
55,hwtrad,12,果,3,noflip,5
55,hwtrad,13,玉,4,flip,5
55,hwtrad,14,control_匜_也,4,noflip,5
55,hwtrad,15,老,3,flip,5
55,hwtrad,16,亚,2,flip,5
55,hwtrad,17,戈,4,noflip,5
55,hwtrad,18,土,2,flip,5
55,hwtrad,19,首,5,noflip,5
55,hwtrad,20,克,5,flip,5
55,hwtrad,21,control_乇_七,3,flip,5
55,hwtrad,22,壬,5,noflip,5
55,hwtrad,23,夭,4,noflip,5
55,hwtrad,24,帝,2,flip,5
55,hwtrad,25,又,4,flip,5
55,hwtrad,26,勺,2,flip,5
55,hwtrad,27,犬,1,noflip,5
55,hwtrad,28,父,1,flip,5
55,hwtrad,29,木,2,flip,5
55,hwtrad,30,月,1,noflip,5
55,hwtrad,31,若,2,flip,5
55,hwtrad,32,飞,5,flip,5
55,hwtrad,33,自,1,noflip,5
55,hwtrad,34,工,1,noflip,5
55,hwtrad,35,儿,0,flip,5
55,hwtrad,36,周,0,noflip,5
55,hwtrad,37,龟,5,noflip,5
55,hwtrad,38,马,0,flip,5
55,hwtrad,39,control_咫_只,4,flip,5
55,hwtrad,40,句,1,noflip,5
55,hwtrad,41,石,0,flip,5
55,hwtrad,42,田,1,flip,5
55,hwtrad,43,臣,2,noflip,5
55,hwtrad,44,主,0,flip,5
55,hwtrad,45,control_卡_上,3,noflip,5
55,hwtrad,46,鸟,4,noflip,5
55,hwtrad,47,卜,2,flip,5
55,hwtrad,48,它,0,noflip,5
55,hwtrad,49,寅,5,flip,5
55,hwtrad,50,向,1,flip,5
55,hwtrad,51,角,4,flip,5
55,hwtrad,52,用,1,flip,5
55,hwtrad,53,斤,1,noflip,5
55,hwtrad,54,才,2,noflip,5
55,hwtrad,55,止,0,noflip,5
56,hwtrad,1,巴,0,flip,5
56,hwtrad,2,control_刓_元,4,flip,5
56,hwtrad,3,control_卡_上,5,noflip,5
56,hwtrad,4,未,3,flip,5
56,hwtrad,5,燕,5,noflip,5
56,hwtrad,6,若,0,flip,5
56,hwtrad,7,庚,1,flip,5
56,hwtrad,8,工,1,flip,5
56,hwtrad,9,川,0,noflip,5
56,hwtrad,10,犬,0,flip,5
56,hwtrad,11,廾,0,noflip,5
56,hwtrad,12,control_匜_也,5,flip,5
56,hwtrad,13,率,4,flip,5
56,hwtrad,14,日,3,noflip,5
56,hwtrad,15,女,0,noflip,5
56,hwtrad,16,泉,4,noflip,5
56,hwtrad,17,父,1,noflip,5
56,hwtrad,18,卯,2,flip,5
56,hwtrad,19,句,2,noflip,5
56,hwtrad,20,介,1,flip,5
56,hwtrad,21,糸,4,flip,5
56,hwtrad,22,贝,2,noflip,5
56,hwtrad,23,鬼,1,noflip,5
56,hwtrad,24,气,5,noflip,5
56,hwtrad,25,页,0,noflip,5
56,hwtrad,26,单,2,noflip,5
56,hwtrad,27,午,4,noflip,5
56,hwtrad,28,而,4,flip,5
56,hwtrad,29,米,3,flip,5
56,hwtrad,30,龟,4,flip,5
56,hwtrad,31,长,2,noflip,5
56,hwtrad,32,易,2,noflip,5
56,hwtrad,33,玉,1,noflip,5
56,hwtrad,34,网,5,flip,5
56,hwtrad,35,登,1,flip,5
56,hwtrad,36,亚,2,flip,5
56,hwtrad,37,眉,4,noflip,5
56,hwtrad,38,方,4,noflip,5
56,hwtrad,39,仓,2,noflip,5
56,hwtrad,40,果,3,flip,5
56,hwtrad,41,己,1,noflip,5
56,hwtrad,42,火,3,noflip,5
56,hwtrad,43,卜,2,flip,5
56,hwtrad,44,control_咫_只,4,flip,5
56,hwtrad,45,乙,3,flip,5
56,hwtrad,46,秉,2,noflip,5
56,hwtrad,47,氏,3,flip,5
56,hwtrad,48,大,2,flip,5
56,hwtrad,49,且,2,noflip,5
56,hwtrad,50,羽,3,flip,5
56,hwtrad,51,黄,4,noflip,5
56,hwtrad,52,壬,4,flip,5
56,hwtrad,53,以,4,flip,5
56,hwtrad,54,control_乇_七,3,flip,5
56,hwtrad,55,永,3,noflip,5
57,hwtrad,1,火,0,flip,5
57,hwtrad,2,兆,5,flip,5
57,hwtrad,3,且,4,noflip,5
57,hwtrad,4,仓,0,noflip,5
57,hwtrad,5,黄,5,flip,5
57,hwtrad,6,未,4,noflip,5
57,hwtrad,7,方,4,noflip,5
57,hwtrad,8,又,4,flip,5
57,hwtrad,9,首,4,flip,5
57,hwtrad,10,歹,4,noflip,5
57,hwtrad,11,寅,4,noflip,5
57,hwtrad,12,廾,0,flip,5
57,hwtrad,13,门,0,flip,5
57,hwtrad,14,兽,5,flip,5
57,hwtrad,15,页,0,flip,5
57,hwtrad,16,口,1,noflip,5
57,hwtrad,17,户,2,noflip,5
57,hwtrad,18,木,4,noflip,5
57,hwtrad,19,父,4,noflip,5
57,hwtrad,20,田,1,flip,5
57,hwtrad,21,control_咫_只,5,flip,5
57,hwtrad,22,率,5,flip,5
57,hwtrad,23,角,4,noflip,5
57,hwtrad,24,control_刓_元,4,flip,5
57,hwtrad,25,壬,5,noflip,5
57,hwtrad,26,鱼,5,noflip,5
57,hwtrad,27,才,5,noflip,5
57,hwtrad,28,牛,4,noflip,5
57,hwtrad,29,向,4,noflip,5
57,hwtrad,30,甲,4,noflip,5
57,hwtrad,31,臣,4,noflip,5
57,hwtrad,32,舟,5,flip,5
57,hwtrad,33,玉,4,flip,5
57,hwtrad,34,工,1,flip,5
57,hwtrad,35,川,2,flip,5
57,hwtrad,36,control_乇_七,3,noflip,5
57,hwtrad,37,兔,5,noflip,5
57,hwtrad,38,母,5,noflip,5
57,hwtrad,39,目,5,noflip,5
57,hwtrad,40,耳,5,flip,5
57,hwtrad,41,儿,5,noflip,5
57,hwtrad,42,勿,5,flip,5
57,hwtrad,43,女,4,flip,5
57,hwtrad,44,南,1,noflip,5
57,hwtrad,45,control_匜_也,4,flip,5
57,hwtrad,46,面,5,noflip,5
57,hwtrad,47,control_卡_上,5,flip,5
57,hwtrad,48,帝,0,flip,5
57,hwtrad,49,虎,0,flip,5
57,hwtrad,50,井,1,noflip,5
57,hwtrad,51,秉,1,noflip,5
57,hwtrad,52,夫,5,noflip,5
57,hwtrad,53,雨,5,flip,5
57,hwtrad,54,鬼,5,flip,5
57,hwtrad,55,马,0,noflip,5
58,hwtrad,1,首,3,noflip,5
58,hwtrad,2,衣,3,noflip,5
58,hwtrad,3,黄,3,noflip,5
58,hwtrad,4,贝,3,flip,5
58,hwtrad,5,飞,4,noflip,5
58,hwtrad,6,control_乇_七,3,noflip,5
58,hwtrad,7,龟,3,noflip,5
58,hwtrad,8,工,2,noflip,5
58,hwtrad,9,戈,3,noflip,5
58,hwtrad,10,面,3,noflip,5
58,hwtrad,11,月,3,noflip,5
58,hwtrad,12,鱼,4,noflip,5
58,hwtrad,13,角,4,noflip,5
58,hwtrad,14,川,2,flip,5
58,hwtrad,15,舟,2,flip,5
58,hwtrad,16,卜,2,noflip,5
58,hwtrad,17,页,3,noflip,5
58,hwtrad,18,control_刓_元,3,noflip,5
58,hwtrad,19,未,4,noflip,5
58,hwtrad,20,虎,4,flip,5
